epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1287.49,1.67139,1.33262,1.26949,0.48097,0.26609,0.28141,0.14947,1.91713,1.64261,1.52455,0.005743,0.005743,0.005743
45,1317.39,1.66027,1.32842,1.26462,0.29353,0.26143,0.2307,0.10766,2.02661,1.74869,1.616,0.005644,0.005644,0.005644
46,1346.2,1.65021,1.32065,1.26081,0.4432,0.27993,0.26949,0.14018,1.95052,1.63697,1.55571,0.005545,0.005545,0.005545
47,1375.09,1.6289,1.29902,1.24635,0.46369,0.257,0.25473,0.12234,1.98659,1.71487,1.57352,0.005446,0.005446,0.005446
48,1404.83,1.62364,1.28605,1.2404,0.81057,0.27156,0.29363,0.15373,1.88804,1.58036,1.50628,0.005347,0.005347,0.005347
49,1433.92,1.61891,1.28055,1.23878,0.52693,0.28046,0.29233,0.1484,1.92066,1.59676,1.52,0.005248,0.005248,0.005248
50,1462.74,1.62374,1.28665,1.23969,0.57025,0.28502,0.29485,0.15514,1.89255,1.6129,1.50054,0.005149,0.005149,0.005149
51,1492.35,1.60293,1.28033,1.23139,0.46593,0.28088,0.29716,0.15787,1.87759,1.60523,1.50539,0.00505,0.00505,0.00505
52,1521.29,1.61618,1.27692,1.24943,0.40847,0.27507,0.28318,0.14574,1.91615,1.61913,1.51774,0.004951,0.004951,0.004951
53,1550.05,1.59362,1.26795,1.22967,0.5063,0.2739,0.28799,0.14948,1.95035,1.59872,1.53988,0.004852,0.004852,0.004852
54,1579.25,1.60271,1.27247,1.22973,0.36345,0.28245,0.28383,0.14757,1.92516,1.60695,1.5287,0.004753,0.004753,0.004753
55,1608.33,1.60039,1.26182,1.23176,0.54967,0.2846,0.3072,0.16547,1.86589,1.55264,1.49972,0.004654,0.004654,0.004654
56,1637.06,1.56743,1.24998,1.22017,0.49712,0.2841,0.29317,0.15314,1.90517,1.58713,1.52157,0.004555,0.004555,0.004555
57,1665.89,1.57676,1.23804,1.22051,0.44385,0.28558,0.29253,0.15164,1.90905,1.56033,1.52713,0.004456,0.004456,0.004456
58,1695.39,1.5755,1.23332,1.21733,0.53346,0.27745,0.2915,0.15187,1.89679,1.57956,1.50693,0.004357,0.004357,0.004357
59,1724.13,1.5829,1.23995,1.22604,0.43,0.27338,0.26492,0.13384,1.93768,1.67236,1.54055,0.004258,0.004258,0.004258
60,1752.93,1.56837,1.23926,1.2158,0.55754,0.27725,0.2948,0.15182,1.89402,1.58435,1.51434,0.004159,0.004159,0.004159
